id,name,height,weight,total_stats,hp,atk,def_,sp_atk,sp_def,spe,ev_hp,ev_atk,ev_def,ev_sp_atk,ev_sp_def,ev_spe,shape,color,capture_rate,gender_rate,growth_rate,generation,is_legendary,is_mythical,is_baby,rarity,base_experience,stage,type_1,type_2,egg_group_1,egg_group_2
1,bulbasaur,0.7,6.9,318,45,49,49,65,65,45,0,0,0,1,0,0,quadruped,green,45,1,medium-slow,1,False,False,False,regular,64,s1c3,grass,poison,monster,plant
2,ivysaur,1.0,13.0,405,60,62,63,80,80,60,0,0,0,1,1,0,quadruped,green,45,1,medium-slow,1,False,False,False,regular,142,s2c3,grass,poison,monster,plant
3,venusaur,2.0,100.0,525,80,82,83,100,100,80,0,0,0,2,1,0,quadruped,green,45,1,medium-slow,1,False,False,False,regular,236,s3c3,grass,poison,monster,plant
4,charmander,0.6,8.5,309,39,52,43,60,50,65,0,0,0,0,0,1,upright,red,45,1,medium-slow,1,False,False,False,regular,62,s1c3,fire,,monster,dragon
5,charmeleon,1.1,19.0,405,58,64,58,80,65,80,0,0,0,1,0,1,upright,red,45,1,medium-slow,1,False,False,False,regular,142,s2c3,fire,,monster,dragon
6,charizard,1.7,90.5,534,78,84,78,109,85,100,0,0,0,3,0,0,upright,red,45,1,medium-slow,1,False,False,False,regular,240,s3c3,fire,flying,monster,dragon
7,squirtle,0.5,9.0,314,44,48,65,50,64,43,0,0,1,0,0,0,upright,blue,45,1,medium-slow,1,False,False,False,regular,63,s1c3,water,,monster,water1
8,wartortle,1.0,22.5,405,59,63,80,65,80,58,0,0,1,0,1,0,upright,blue,45,1,medium-slow,1,False,False,False,regular,142,s2c3,water,,monster,water1
9,blastoise,1.6,85.5,530,79,83,100,85,105,78,0,0,0,0,3,0,upright,blue,45,1,medium-slow,1,False,False,False,regular,239,s3c3,water,,monster,water1
10,caterpie,0.3,2.9,195,45,30,35,20,20,45,1,0,0,0,0,0,armor,green,255,4,medium,1,False,False,False,regular,39,s1c3,bug,,bug,
11,metapod,0.7,9.9,205,50,20,55,25,25,30,0,0,2,0,0,0,squiggle,green,120,4,medium,1,False,False,False,regular,72,s2c3,bug,,bug,
12,butterfree,1.1,32.0,395,60,45,50,90,80,70,0,0,0,2,1,0,bug-wings,white,45,4,medium,1,False,False,False,regular,178,s3c3,bug,flying,bug,
13,weedle,0.3,3.2,195,40,35,30,20,20,50,0,0,0,0,0,1,armor,brown,255,4,medium,1,False,False,False,regular,39,s1c3,bug,poison,bug,
14,kakuna,0.6,10.0,205,45,25,50,25,25,35,0,0,2,0,0,0,squiggle,yellow,120,4,medium,1,False,False,False,regular,72,s2c3,bug,poison,bug,
15,beedrill,1.0,29.5,395,65,90,40,45,80,75,0,2,0,0,1,0,bug-wings,yellow,45,4,medium,1,False,False,False,regular,178,s3c3,bug,poison,bug,
16,pidgey,0.3,1.8,251,40,45,40,35,35,56,0,0,0,0,0,1,wings,brown,255,4,medium-slow,1,False,False,False,regular,50,s1c3,normal,flying,flying,
17,pidgeotto,1.1,30.0,349,63,60,55,50,50,71,0,0,0,0,0,2,wings,brown,120,4,medium-slow,1,False,False,False,regular,122,s2c3,normal,flying,flying,
18,pidgeot,1.5,39.5,479,83,80,75,70,70,101,0,0,0,0,0,3,wings,brown,45,4,medium-slow,1,False,False,False,regular,216,s3c3,normal,flying,flying,
19,rattata,0.3,3.5,253,30,56,35,25,35,72,0,0,0,0,0,1,quadruped,purple,255,4,medium,1,False,False,False,regular,51,s1c2,normal,,ground,
20,raticate,0.7,18.5,413,55,81,60,50,70,97,0,0,0,0,0,2,quadruped,brown,127,4,medium,1,False,False,False,regular,145,s2c2,normal,,ground,
21,spearow,0.3,2.0,262,40,60,30,31,31,70,0,0,0,0,0,1,wings,brown,255,4,medium,1,False,False,False,regular,52,s1c2,normal,flying,flying,
22,fearow,1.2,38.0,442,65,90,65,61,61,100,0,0,0,0,0,2,wings,brown,90,4,medium,1,False,False,False,regular,155,s2c2,normal,flying,flying,
23,ekans,2.0,6.9,288,35,60,44,40,54,55,0,1,0,0,0,0,squiggle,purple,255,4,medium,1,False,False,False,regular,58,s1c2,poison,,ground,dragon
24,arbok,3.5,65.0,448,60,95,69,65,79,80,0,2,0,0,0,0,squiggle,purple,90,4,medium,1,False,False,False,regular,157,s2c2,poison,,ground,dragon
25,pikachu,0.4,6.0,320,35,55,40,50,50,90,0,0,0,0,0,2,quadruped,yellow,190,4,medium,1,False,False,False,regular,112,s2c3,electric,,ground,fairy
26,raichu,0.8,30.0,485,60,90,55,90,80,110,0,0,0,0,0,3,upright,yellow,75,4,medium,1,False,False,False,regular,218,s3c3,electric,,ground,fairy
27,sandshrew,0.6,12.0,300,50,75,85,20,30,40,0,0,1,0,0,0,upright,yellow,255,4,medium,1,False,False,False,regular,60,s1c2,ground,,ground,
28,sandslash,1.0,29.5,450,75,100,110,45,55,65,0,0,2,0,0,0,upright,yellow,90,4,medium,1,False,False,False,regular,158,s2c2,ground,,ground,
29,nidoran_f,0.4,7.0,275,55,47,52,40,40,41,1,0,0,0,0,0,quadruped,blue,235,8,medium-slow,1,False,False,False,regular,55,single,poison,,monster,ground
30,nidorina,0.8,20.0,365,70,62,67,55,55,56,2,0,0,0,0,0,quadruped,blue,120,8,medium-slow,1,False,False,False,regular,128,s2c3,poison,,no-eggs,
31,nidoqueen,1.3,60.0,505,90,92,87,75,85,76,3,0,0,0,0,0,upright,blue,45,8,medium-slow,1,False,False,False,regular,227,s3c3,poison,ground,no-eggs,
32,nidoran_m,0.5,9.0,273,46,57,40,40,40,50,0,1,0,0,0,0,quadruped,purple,235,0,medium-slow,1,False,False,False,regular,55,single,poison,,monster,ground
33,nidorino,0.9,19.5,365,61,72,57,55,55,65,0,2,0,0,0,0,quadruped,purple,120,0,medium-slow,1,False,False,False,regular,128,s2c3,poison,,monster,ground
34,nidoking,1.4,62.0,505,81,102,77,85,75,85,0,3,0,0,0,0,upright,purple,45,0,medium-slow,1,False,False,False,regular,227,s3c3,poison,ground,monster,ground
35,clefairy,0.6,7.5,323,70,45,48,60,65,35,2,0,0,0,0,0,upright,pink,150,6,fast,1,False,False,False,regular,113,s2c3,fairy,,fairy,
36,clefable,1.3,40.0,483,95,70,73,95,90,60,3,0,0,0,0,0,upright,pink,25,6,fast,1,False,False,False,regular,217,s3c3,fairy,,fairy,
37,vulpix,0.6,9.9,299,38,41,40,50,65,65,0,0,0,0,0,1,quadruped,brown,190,6,medium,1,False,False,False,regular,60,s1c2,fire,,ground,
38,ninetales,1.1,19.9,505,73,76,75,81,100,100,0,0,0,0,1,1,quadruped,yellow,75,6,medium,1,False,False,False,regular,177,s2c2,fire,,ground,
39,jigglypuff,0.5,5.5,270,115,45,20,45,25,20,2,0,0,0,0,0,humanoid,pink,170,6,fast,1,False,False,False,regular,95,s2c3,normal,fairy,fairy,
40,wigglytuff,1.0,12.0,435,140,70,45,85,50,45,3,0,0,0,0,0,humanoid,pink,50,6,fast,1,False,False,False,regular,196,s3c3,normal,fairy,fairy,
41,zubat,0.8,7.5,245,40,45,35,30,40,55,0,0,0,0,0,1,wings,purple,255,4,medium,1,False,False,False,regular,49,s1c3,poison,flying,flying,
42,golbat,1.6,55.0,455,75,80,70,65,75,90,0,0,0,0,0,2,wings,purple,90,4,medium,1,False,False,False,regular,159,s2c3,poison,flying,flying,
43,oddish,0.5,5.4,320,45,50,55,75,65,30,0,0,0,1,0,0,legs,blue,255,4,medium-slow,1,False,False,False,regular,64,s1c3,grass,poison,plant,
44,gloom,0.8,8.6,395,60,65,70,85,75,40,0,0,0,2,0,0,humanoid,blue,120,4,medium-slow,1,False,False,False,regular,138,s2c3,grass,poison,plant,
45,vileplume,1.2,18.6,490,75,80,85,110,90,50,0,0,0,3,0,0,humanoid,red,45,4,medium-slow,1,False,False,False,regular,221,s3c3,grass,poison,plant,
46,paras,0.3,5.4,285,35,70,55,45,55,25,0,1,0,0,0,0,armor,red,190,4,medium,1,False,False,False,regular,57,s1c2,bug,grass,bug,plant
47,parasect,1.0,29.5,405,60,95,80,60,80,30,0,2,1,0,0,0,armor,red,75,4,medium,1,False,False,False,regular,142,s2c2,bug,grass,bug,plant
48,venonat,1.0,30.0,305,60,55,50,40,55,45,0,0,0,0,1,0,humanoid,purple,190,4,medium,1,False,False,False,regular,61,s1c2,bug,poison,bug,
49,venomoth,1.5,12.5,450,70,65,60,90,75,90,0,0,0,1,0,1,bug-wings,purple,75,4,medium,1,False,False,False,regular,158,s2c2,bug,poison,bug,
50,diglett,0.2,0.8,265,10,55,25,35,45,95,0,0,0,0,0,1,blob,brown,255,4,medium,1,False,False,False,regular,53,s1c2,ground,,ground,
51,dugtrio,0.7,33.3,425,35,100,50,50,70,120,0,0,0,0,0,2,heads,brown,50,4,medium,1,False,False,False,regular,149,s2c2,ground,,ground,
52,meowth,0.4,4.2,290,40,45,35,40,40,90,0,0,0,0,0,1,quadruped,yellow,255,4,medium,1,False,False,False,regular,58,s1c2,normal,,ground,
53,persian,1.0,32.0,440,65,70,60,65,65,115,0,0,0,0,0,2,quadruped,yellow,90,4,medium,1,False,False,False,regular,154,s2c2,normal,,ground,
54,psyduck,0.8,19.6,320,50,52,48,65,50,55,0,0,0,1,0,0,upright,yellow,190,4,medium,1,False,False,False,regular,64,s1c2,water,,water1,ground
55,golduck,1.7,76.6,500,80,82,78,95,80,85,0,0,0,2,0,0,upright,blue,75,4,medium,1,False,False,False,regular,175,s2c2,water,,water1,ground
56,mankey,0.5,28.0,305,40,80,35,35,45,70,0,1,0,0,0,0,upright,brown,190,4,medium,1,False,False,False,regular,61,s1c3,fighting,,ground,
57,primeape,1.0,32.0,455,65,105,60,60,70,95,0,2,0,0,0,0,upright,brown,75,4,medium,1,False,False,False,regular,159,s2c3,fighting,,ground,
58,growlithe,0.7,19.0,350,55,70,45,70,50,60,0,1,0,0,0,0,quadruped,brown,190,2,slow,1,False,False,False,regular,70,s1c2,fire,,ground,
59,arcanine,1.9,155.0,555,90,110,80,100,80,95,0,2,0,0,0,0,quadruped,brown,75,2,slow,1,False,False,False,regular,194,s2c2,fire,,ground,
60,poliwag,0.6,12.4,300,40,50,40,40,40,90,0,0,0,0,0,1,legs,blue,255,4,medium-slow,1,False,False,False,regular,60,s1c3,water,,water1,
61,poliwhirl,1.0,20.0,385,65,65,65,50,50,90,0,0,0,0,0,2,humanoid,blue,120,4,medium-slow,1,False,False,False,regular,135,s2c3,water,,water1,
62,poliwrath,1.3,54.0,510,90,95,95,70,90,70,0,0,3,0,0,0,humanoid,blue,45,4,medium-slow,1,False,False,False,regular,230,s3c3,water,fighting,water1,
63,abra,0.9,19.5,310,25,20,15,105,55,90,0,0,0,1,0,0,upright,brown,200,2,medium-slow,1,False,False,False,regular,62,s1c3,psychic,,humanshape,
64,kadabra,1.3,56.5,400,40,35,30,120,70,105,0,0,0,2,0,0,upright,brown,100,2,medium-slow,1,False,False,False,regular,140,s2c3,psychic,,humanshape,
65,alakazam,1.5,48.0,500,55,50,45,135,95,120,0,0,0,3,0,0,humanoid,brown,50,2,medium-slow,1,False,False,False,regular,225,s3c3,psychic,,humanshape,
66,machop,0.8,19.5,305,70,80,50,35,35,35,0,1,0,0,0,0,upright,gray,180,2,medium-slow,1,False,False,False,regular,61,s1c3,fighting,,humanshape,
67,machoke,1.5,70.5,405,80,100,70,50,60,45,0,2,0,0,0,0,humanoid,gray,90,2,medium-slow,1,False,False,False,regular,142,s2c3,fighting,,humanshape,
68,machamp,1.6,130.0,505,90,130,80,65,85,55,0,3,0,0,0,0,humanoid,gray,45,2,medium-slow,1,False,False,False,regular,227,s3c3,fighting,,humanshape,
69,bellsprout,0.7,4.0,300,50,75,35,70,30,40,0,1,0,0,0,0,humanoid,green,255,4,medium-slow,1,False,False,False,regular,60,s1c3,grass,poison,plant,
70,weepinbell,1.0,6.4,390,65,90,50,85,45,55,0,2,0,0,0,0,blob,green,120,4,medium-slow,1,False,False,False,regular,137,s2c3,grass,poison,plant,
71,victreebel,1.7,15.5,490,80,105,65,100,70,70,0,3,0,0,0,0,blob,green,45,4,medium-slow,1,False,False,False,regular,221,s3c3,grass,poison,plant,
72,tentacool,0.9,45.5,335,40,40,35,50,100,70,0,0,0,0,1,0,tentacles,blue,190,4,slow,1,False,False,False,regular,67,s1c2,water,poison,water3,
73,tentacruel,1.6,55.0,515,80,70,65,80,120,100,0,0,0,0,2,0,tentacles,blue,60,4,slow,1,False,False,False,regular,180,s2c2,water,poison,water3,
74,geodude,0.4,20.0,300,40,80,100,30,30,20,0,0,1,0,0,0,arms,brown,255,4,medium-slow,1,False,False,False,regular,60,s1c3,rock,ground,mineral,
75,graveler,1.0,105.0,390,55,95,115,45,45,35,0,0,2,0,0,0,humanoid,brown,120,4,medium-slow,1,False,False,False,regular,137,s2c3,rock,ground,mineral,
76,golem,1.4,300.0,495,80,120,130,55,65,45,0,0,3,0,0,0,humanoid,brown,45,4,medium-slow,1,False,False,False,regular,223,s3c3,rock,ground,mineral,
77,ponyta,1.0,30.0,410,50,85,55,65,65,90,0,0,0,0,0,1,quadruped,yellow,190,4,medium,1,False,False,False,regular,82,s1c2,fire,,ground,
78,rapidash,1.7,95.0,500,65,100,70,80,80,105,0,0,0,0,0,2,quadruped,yellow,60,4,medium,1,False,False,False,regular,175,s2c2,fire,,ground,
79,slowpoke,1.2,36.0,315,90,65,65,40,40,15,1,0,0,0,0,0,quadruped,pink,190,4,medium,1,False,False,False,regular,63,s1c2,water,psychic,monster,water1
80,slowbro,1.6,78.5,490,95,75,110,100,80,30,0,0,2,0,0,0,upright,pink,75,4,medium,1,False,False,False,regular,172,s2c2,water,psychic,monster,water1
81,magnemite,0.3,6.0,325,25,35,70,95,55,45,0,0,0,1,0,0,arms,gray,190,-1,medium,1,False,False,False,regular,65,s1c3,electric,steel,mineral,
82,magneton,1.0,60.0,465,50,60,95,120,70,70,0,0,0,2,0,0,heads,gray,60,-1,medium,1,False,False,False,regular,163,s2c3,electric,steel,mineral,
