id,name,types,height,weight,total_stats,hp,atk,def_,sp_atk,sp_def,spe,ev_hp,ev_atk,ev_def,ev_sp_atk,ev_sp_def,ev_spe,shape,color,capture_rate,gender_rate,growth_rate,generation,egg_groups,is_legendary,is_mythical,is_baby,category,base_experience,stage
1,bulbasaur,grass | poison,0.7,6.9,318,45,49,49,65,65,45,0,0,0,1,0,0,quadruped,green,45,1,medium-slow,1,monster | plant,False,False,False,regular,64,s1c3
2,ivysaur,grass | poison,1.0,13.0,405,60,62,63,80,80,60,0,0,0,1,1,0,quadruped,green,45,1,medium-slow,1,monster | plant,False,False,False,regular,142,s2c3
3,venusaur,grass | poison,2.0,100.0,525,80,82,83,100,100,80,0,0,0,2,1,0,quadruped,green,45,1,medium-slow,1,monster | plant,False,False,False,regular,236,s3c3
4,charmander,fire,0.6,8.5,309,39,52,43,60,50,65,0,0,0,0,0,1,upright,red,45,1,medium-slow,1,monster | dragon,False,False,False,regular,62,s1c3
5,charmeleon,fire,1.1,19.0,405,58,64,58,80,65,80,0,0,0,1,0,1,upright,red,45,1,medium-slow,1,monster | dragon,False,False,False,regular,142,s2c3
6,charizard,fire | flying,1.7,90.5,534,78,84,78,109,85,100,0,0,0,3,0,0,upright,red,45,1,medium-slow,1,monster | dragon,False,False,False,regular,240,s3c3
7,squirtle,water,0.5,9.0,314,44,48,65,50,64,43,0,0,1,0,0,0,upright,blue,45,1,medium-slow,1,monster | water1,False,False,False,regular,63,s1c3
8,wartortle,water,1.0,22.5,405,59,63,80,65,80,58,0,0,1,0,1,0,upright,blue,45,1,medium-slow,1,monster | water1,False,False,False,regular,142,s2c3
9,blastoise,water,1.6,85.5,530,79,83,100,85,105,78,0,0,0,0,3,0,upright,blue,45,1,medium-slow,1,monster | water1,False,False,False,regular,239,s3c3
10,caterpie,bug,0.3,2.9,195,45,30,35,20,20,45,1,0,0,0,0,0,armor,green,255,4,medium,1,bug,False,False,False,regular,39,s1c3
11,metapod,bug,0.7,9.9,205,50,20,55,25,25,30,0,0,2,0,0,0,squiggle,green,120,4,medium,1,bug,False,False,False,regular,72,s2c3
12,butterfree,bug | flying,1.1,32.0,395,60,45,50,90,80,70,0,0,0,2,1,0,bug-wings,white,45,4,medium,1,bug,False,False,False,regular,178,s3c3
13,weedle,bug | poison,0.3,3.2,195,40,35,30,20,20,50,0,0,0,0,0,1,armor,brown,255,4,medium,1,bug,False,False,False,regular,39,s1c3
14,kakuna,bug | poison,0.6,10.0,205,45,25,50,25,25,35,0,0,2,0,0,0,squiggle,yellow,120,4,medium,1,bug,False,False,False,regular,72,s2c3
