id,generation,name,type_1,type_2,height,weight,color,shape,rarity,stage,total_stats,hp,atk,def,sp_atk,sp_def,spe,ev_hp,ev_atk,ev_def,ev_sp_atk,ev_sp_def,ev_spe,capture_rate,growth_rate,base_experience,egg_group_1,egg_group_2
1,1,bulbasaur,grass,poison,0.7,6.9,green,quadruped,regular,s1c3,318,45,49,49,65,65,45,0,0,0,1,0,0,45,medium-slow,64,monster,plant
2,1,ivysaur,grass,poison,1.0,13.0,green,quadruped,regular,s2c3,405,60,62,63,80,80,60,0,0,0,1,1,0,45,medium-slow,142,monster,plant
3,1,venusaur,grass,poison,2.0,100.0,green,quadruped,regular,s3c3,525,80,82,83,100,100,80,0,0,0,2,1,0,45,medium-slow,236,monster,plant
4,1,charmander,fire,,0.6,8.5,red,upright,regular,s1c3,309,39,52,43,60,50,65,0,0,0,0,0,1,45,medium-slow,62,monster,dragon
5,1,charmeleon,fire,,1.1,19.0,red,upright,regular,s2c3,405,58,64,58,80,65,80,0,0,0,1,0,1,45,medium-slow,142,monster,dragon
6,1,charizard,fire,flying,1.7,90.5,red,upright,regular,s3c3,534,78,84,78,109,85,100,0,0,0,3,0,0,45,medium-slow,240,monster,dragon
7,1,squirtle,water,,0.5,9.0,blue,upright,regular,s1c3,314,44,48,65,50,64,43,0,0,1,0,0,0,45,medium-slow,63,monster,water1
8,1,wartortle,water,,1.0,22.5,blue,upright,regular,s2c3,405,59,63,80,65,80,58,0,0,1,0,1,0,45,medium-slow,142,monster,water1
9,1,blastoise,water,,1.6,85.5,blue,upright,regular,s3c3,530,79,83,100,85,105,78,0,0,0,0,3,0,45,medium-slow,239,monster,water1
10,1,caterpie,bug,,0.3,2.9,green,armor,regular,s1c3,195,45,30,35,20,20,45,1,0,0,0,0,0,255,medium,39,bug,
11,1,metapod,bug,,0.7,9.9,green,squiggle,regular,s2c3,205,50,20,55,25,25,30,0,0,2,0,0,0,120,medium,72,bug,
12,1,butterfree,bug,flying,1.1,32.0,white,bug-wings,regular,s3c3,395,60,45,50,90,80,70,0,0,0,2,1,0,45,medium,178,bug,
13,1,weedle,bug,poison,0.3,3.2,brown,armor,regular,s1c3,195,40,35,30,20,20,50,0,0,0,0,0,1,255,medium,39,bug,
14,1,kakuna,bug,poison,0.6,10.0,yellow,squiggle,regular,s2c3,205,45,25,50,25,25,35,0,0,2,0,0,0,120,medium,72,bug,
15,1,beedrill,bug,poison,1.0,29.5,yellow,bug-wings,regular,s3c3,395,65,90,40,45,80,75,0,2,0,0,1,0,45,medium,178,bug,
16,1,pidgey,normal,flying,0.3,1.8,brown,wings,regular,s1c3,251,40,45,40,35,35,56,0,0,0,0,0,1,255,medium-slow,50,flying,
17,1,pidgeotto,normal,flying,1.1,30.0,brown,wings,regular,s2c3,349,63,60,55,50,50,71,0,0,0,0,0,2,120,medium-slow,122,flying,
18,1,pidgeot,normal,flying,1.5,39.5,brown,wings,regular,s3c3,479,83,80,75,70,70,101,0,0,0,0,0,3,45,medium-slow,216,flying,
19,1,rattata,normal,,0.3,3.5,purple,quadruped,regular,s1c2,253,30,56,35,25,35,72,0,0,0,0,0,1,255,medium,51,ground,
20,1,raticate,normal,,0.7,18.5,brown,quadruped,regular,s2c2,413,55,81,60,50,70,97,0,0,0,0,0,2,127,medium,145,ground,
21,1,spearow,normal,flying,0.3,2.0,brown,wings,regular,s1c2,262,40,60,30,31,31,70,0,0,0,0,0,1,255,medium,52,flying,
22,1,fearow,normal,flying,1.2,38.0,brown,wings,regular,s2c2,442,65,90,65,61,61,100,0,0,0,0,0,2,90,medium,155,flying,
23,1,ekans,poison,,2.0,6.9,purple,squiggle,regular,s1c2,288,35,60,44,40,54,55,0,1,0,0,0,0,255,medium,58,ground,dragon
24,1,arbok,poison,,3.5,65.0,purple,squiggle,regular,s2c2,448,60,95,69,65,79,80,0,2,0,0,0,0,90,medium,157,ground,dragon
25,1,pikachu,electric,,0.4,6.0,yellow,quadruped,regular,s2c3,320,35,55,40,50,50,90,0,0,0,0,0,2,190,medium,112,ground,fairy
26,1,raichu,electric,,0.8,30.0,yellow,upright,regular,s3c3,485,60,90,55,90,80,110,0,0,0,0,0,3,75,medium,218,ground,fairy
27,1,sandshrew,ground,,0.6,12.0,yellow,upright,regular,s1c2,300,50,75,85,20,30,40,0,0,1,0,0,0,255,medium,60,ground,
28,1,sandslash,ground,,1.0,29.5,yellow,upright,regular,s2c2,450,75,100,110,45,55,65,0,0,2,0,0,0,90,medium,158,ground,
29,1,nidoran_f,poison,,0.4,7.0,blue,quadruped,regular,s1c3,275,55,47,52,40,40,41,1,0,0,0,0,0,235,medium-slow,55,monster,ground
30,1,nidorina,poison,,0.8,20.0,blue,quadruped,regular,s2c3,365,70,62,67,55,55,56,2,0,0,0,0,0,120,medium-slow,128,no-eggs,
31,1,nidoqueen,poison,ground,1.3,60.0,blue,upright,regular,s3c3,505,90,92,87,75,85,76,3,0,0,0,0,0,45,medium-slow,227,no-eggs,
32,1,nidoran_m,poison,,0.5,9.0,purple,quadruped,regular,s1c3,273,46,57,40,40,40,50,0,1,0,0,0,0,235,medium-slow,55,monster,ground
33,1,nidorino,poison,,0.9,19.5,purple,quadruped,regular,s2c3,365,61,72,57,55,55,65,0,2,0,0,0,0,120,medium-slow,128,monster,ground
34,1,nidoking,poison,ground,1.4,62.0,purple,upright,regular,s3c3,505,81,102,77,85,75,85,0,3,0,0,0,0,45,medium-slow,227,monster,ground
35,1,clefairy,fairy,,0.6,7.5,pink,upright,regular,s2c3,323,70,45,48,60,65,35,2,0,0,0,0,0,150,fast,113,fairy,
36,1,clefable,fairy,,1.3,40.0,pink,upright,regular,s3c3,483,95,70,73,95,90,60,3,0,0,0,0,0,25,fast,217,fairy,
37,1,vulpix,fire,,0.6,9.9,brown,quadruped,regular,s1c2,299,38,41,40,50,65,65,0,0,0,0,0,1,190,medium,60,ground,
38,1,ninetales,fire,,1.1,19.9,yellow,quadruped,regular,s2c2,505,73,76,75,81,100,100,0,0,0,0,1,1,75,medium,177,ground,
39,1,jigglypuff,normal,fairy,0.5,5.5,pink,humanoid,regular,s2c3,270,115,45,20,45,25,20,2,0,0,0,0,0,170,fast,95,fairy,
40,1,wigglytuff,normal,fairy,1.0,12.0,pink,humanoid,regular,s3c3,435,140,70,45,85,50,45,3,0,0,0,0,0,50,fast,196,fairy,
41,1,zubat,poison,flying,0.8,7.5,purple,wings,regular,s1c3,245,40,45,35,30,40,55,0,0,0,0,0,1,255,medium,49,flying,
42,1,golbat,poison,flying,1.6,55.0,purple,wings,regular,s2c3,455,75,80,70,65,75,90,0,0,0,0,0,2,90,medium,159,flying,
43,1,oddish,grass,poison,0.5,5.4,blue,legs,regular,s1c3,320,45,50,55,75,65,30,0,0,0,1,0,0,255,medium-slow,64,plant,
44,1,gloom,grass,poison,0.8,8.6,blue,humanoid,regular,s2c3,395,60,65,70,85,75,40,0,0,0,2,0,0,120,medium-slow,138,plant,
45,1,vileplume,grass,poison,1.2,18.6,red,humanoid,regular,s3c3,490,75,80,85,110,90,50,0,0,0,3,0,0,45,medium-slow,221,plant,
46,1,paras,bug,grass,0.3,5.4,red,armor,regular,s1c2,285,35,70,55,45,55,25,0,1,0,0,0,0,190,medium,57,bug,plant
47,1,parasect,bug,grass,1.0,29.5,red,armor,regular,s2c2,405,60,95,80,60,80,30,0,2,1,0,0,0,75,medium,142,bug,plant
48,1,venonat,bug,poison,1.0,30.0,purple,humanoid,regular,s1c2,305,60,55,50,40,55,45,0,0,0,0,1,0,190,medium,61,bug,
