id,generation,name,type_1,type_2,rarity,stage,shape,color,total_stats,height,weight
1,1,bulbasaur,grass,poison,regular,s1c3,quadruped,green,318,0.7,6.9
2,1,ivysaur,grass,poison,regular,s2c3,quadruped,green,405,1.0,13.0
3,1,venusaur,grass,poison,regular,s3c3,quadruped,green,525,2.0,100.0
4,1,charmander,fire,,regular,s1c3,upright,red,309,0.6,8.5
5,1,charmeleon,fire,,regular,s2c3,upright,red,405,1.1,19.0
6,1,charizard,fire,flying,regular,s3c3,upright,red,534,1.7,90.5
7,1,squirtle,water,,regular,s1c3,upright,blue,314,0.5,9.0
8,1,wartortle,water,,regular,s2c3,upright,blue,405,1.0,22.5
9,1,blastoise,water,,regular,s3c3,upright,blue,530,1.6,85.5
10,1,caterpie,bug,,regular,s1c3,armor,green,195,0.3,2.9
11,1,metapod,bug,,regular,s2c3,squiggle,green,205,0.7,9.9
12,1,butterfree,bug,flying,regular,s3c3,bug-wings,white,395,1.1,32.0
13,1,weedle,bug,poison,regular,s1c3,armor,brown,195,0.3,3.2
14,1,kakuna,bug,poison,regular,s2c3,squiggle,yellow,205,0.6,10.0
15,1,beedrill,bug,poison,regular,s3c3,bug-wings,yellow,395,1.0,29.5
16,1,pidgey,normal,flying,regular,s1c3,wings,brown,251,0.3,1.8
17,1,pidgeotto,normal,flying,regular,s2c3,wings,brown,349,1.1,30.0
18,1,pidgeot,normal,flying,regular,s3c3,wings,brown,479,1.5,39.5
19,1,rattata,normal,,regular,s1c2,quadruped,purple,253,0.3,3.5
20,1,raticate,normal,,regular,s2c2,quadruped,brown,413,0.7,18.5
21,1,spearow,normal,flying,regular,s1c2,wings,brown,262,0.3,2.0
22,1,fearow,normal,flying,regular,s2c2,wings,brown,442,1.2,38.0
23,1,ekans,poison,,regular,s1c2,squiggle,purple,288,2.0,6.9
24,1,arbok,poison,,regular,s2c2,squiggle,purple,448,3.5,65.0
25,1,pikachu,electric,,regular,s2c3,quadruped,yellow,320,0.4,6.0
26,1,raichu,electric,,regular,s3c3,upright,yellow,485,0.8,30.0
27,1,sandshrew,ground,,regular,s1c2,upright,yellow,300,0.6,12.0
28,1,sandslash,ground,,regular,s2c2,upright,yellow,450,1.0,29.5
29,1,nidoran_f,poison,,regular,s1c3,quadruped,blue,275,0.4,7.0
30,1,nidorina,poison,,regular,s2c3,quadruped,blue,365,0.8,20.0
31,1,nidoqueen,poison,ground,regular,s3c3,upright,blue,505,1.3,60.0
32,1,nidoran_m,poison,,regular,s1c3,quadruped,purple,273,0.5,9.0
33,1,nidorino,poison,,regular,s2c3,quadruped,purple,365,0.9,19.5
