id,name,types,height,weight,hp,atk,def,sp_atk,sp_def,spe,total_stats,ev_hp,ev_atk,ev_def,ev_sp_atk,ev_sp_def,ev_spe,shape,color,capture_rate,gender_rate,growth_rate,generation,egg_groups,is_legendary,is_mythical,is_baby,category,base_experience,sprite,stage
1,bulbasaur,grass/poison,0.7,6.9,45,49,49,65,65,45,318,0,0,0,1,0,0,quadruped,green,45,1,medium-slow,1,monster/plant,False,False,False,regular,64,0001_bulbasaur.png,s1c3
2,ivysaur,grass/poison,1.0,13.0,60,62,63,80,80,60,405,0,0,0,1,1,0,quadruped,green,45,1,medium-slow,1,monster/plant,False,False,False,regular,142,0002_ivysaur.png,s2c3
3,venusaur,grass/poison,2.0,100.0,80,82,83,100,100,80,525,0,0,0,2,1,0,quadruped,green,45,1,medium-slow,1,monster/plant,False,False,False,regular,236,0003_venusaur.png,s3c3
4,charmander,fire,0.6,8.5,39,52,43,60,50,65,309,0,0,0,0,0,1,upright,red,45,1,medium-slow,1,monster/dragon,False,False,False,regular,62,0004_charmander.png,s1c3
5,charmeleon,fire,1.1,19.0,58,64,58,80,65,80,405,0,0,0,1,0,1,upright,red,45,1,medium-slow,1,monster/dragon,False,False,False,regular,142,0005_charmeleon.png,s2c3
6,charizard,fire/flying,1.7,90.5,78,84,78,109,85,100,534,0,0,0,3,0,0,upright,red,45,1,medium-slow,1,monster/dragon,False,False,False,regular,240,0006_charizard.png,s3c3
7,squirtle,water,0.5,9.0,44,48,65,50,64,43,314,0,0,1,0,0,0,upright,blue,45,1,medium-slow,1,monster/water1,False,False,False,regular,63,0007_squirtle.png,s1c3
8,wartortle,water,1.0,22.5,59,63,80,65,80,58,405,0,0,1,0,1,0,upright,blue,45,1,medium-slow,1,monster/water1,False,False,False,regular,142,0008_wartortle.png,s2c3
9,blastoise,water,1.6,85.5,79,83,100,85,105,78,530,0,0,0,0,3,0,upright,blue,45,1,medium-slow,1,monster/water1,False,False,False,regular,239,0009_blastoise.png,s3c3
10,caterpie,bug,0.3,2.9,45,30,35,20,20,45,195,1,0,0,0,0,0,armor,green,255,4,medium,1,bug,False,False,False,regular,39,0010_caterpie.png,s1c3
11,metapod,bug,0.7,9.9,50,20,55,25,25,30,205,0,0,2,0,0,0,squiggle,green,120,4,medium,1,bug,False,False,False,regular,72,0011_metapod.png,s2c3
12,butterfree,bug/flying,1.1,32.0,60,45,50,90,80,70,395,0,0,0,2,1,0,bug-wings,white,45,4,medium,1,bug,False,False,False,regular,178,0012_butterfree.png,s3c3
13,weedle,bug/poison,0.3,3.2,40,35,30,20,20,50,195,0,0,0,0,0,1,armor,brown,255,4,medium,1,bug,False,False,False,regular,39,0013_weedle.png,s1c3
14,kakuna,bug/poison,0.6,10.0,45,25,50,25,25,35,205,0,0,2,0,0,0,squiggle,yellow,120,4,medium,1,bug,False,False,False,regular,72,0014_kakuna.png,s2c3
15,beedrill,bug/poison,1.0,29.5,65,90,40,45,80,75,395,0,2,0,0,1,0,bug-wings,yellow,45,4,medium,1,bug,False,False,False,regular,178,0015_beedrill.png,s3c3
16,pidgey,normal/flying,0.3,1.8,40,45,40,35,35,56,251,0,0,0,0,0,1,wings,brown,255,4,medium-slow,1,flying,False,False,False,regular,50,0016_pidgey.png,s1c3
17,pidgeotto,normal/flying,1.1,30.0,63,60,55,50,50,71,349,0,0,0,0,0,2,wings,brown,120,4,medium-slow,1,flying,False,False,False,regular,122,0017_pidgeotto.png,s2c3
18,pidgeot,normal/flying,1.5,39.5,83,80,75,70,70,101,479,0,0,0,0,0,3,wings,brown,45,4,medium-slow,1,flying,False,False,False,regular,216,0018_pidgeot.png,s3c3
19,rattata,normal,0.3,3.5,30,56,35,25,35,72,253,0,0,0,0,0,1,quadruped,purple,255,4,medium,1,ground,False,False,False,regular,51,0019_rattata.png,s1c2
20,raticate,normal,0.7,18.5,55,81,60,50,70,97,413,0,0,0,0,0,2,quadruped,brown,127,4,medium,1,ground,False,False,False,regular,145,0020_raticate.png,s2c2
21,spearow,normal/flying,0.3,2.0,40,60,30,31,31,70,262,0,0,0,0,0,1,wings,brown,255,4,medium,1,flying,False,False,False,regular,52,0021_spearow.png,s1c2
22,fearow,normal/flying,1.2,38.0,65,90,65,61,61,100,442,0,0,0,0,0,2,wings,brown,90,4,medium,1,flying,False,False,False,regular,155,0022_fearow.png,s2c2
23,ekans,poison,2.0,6.9,35,60,44,40,54,55,288,0,1,0,0,0,0,squiggle,purple,255,4,medium,1,ground/dragon,False,False,False,regular,58,0023_ekans.png,s1c2
24,arbok,poison,3.5,65.0,60,95,69,65,79,80,448,0,2,0,0,0,0,squiggle,purple,90,4,medium,1,ground/dragon,False,False,False,regular,157,0024_arbok.png,s2c2
25,pikachu,electric,0.4,6.0,35,55,40,50,50,90,320,0,0,0,0,0,2,quadruped,yellow,190,4,medium,1,ground/fairy,False,False,False,regular,112,0025_pikachu.png,s2c3
26,raichu,electric,0.8,30.0,60,90,55,90,80,110,485,0,0,0,0,0,3,upright,yellow,75,4,medium,1,ground/fairy,False,False,False,regular,218,0026_raichu.png,s3c3
27,sandshrew,ground,0.6,12.0,50,75,85,20,30,40,300,0,0,1,0,0,0,upright,yellow,255,4,medium,1,ground,False,False,False,regular,60,0027_sandshrew.png,s1c2
28,sandslash,ground,1.0,29.5,75,100,110,45,55,65,450,0,0,2,0,0,0,upright,yellow,90,4,medium,1,ground,False,False,False,regular,158,0028_sandslash.png,s2c2
29,nidoran-f,poison,0.4,7.0,55,47,52,40,40,41,275,1,0,0,0,0,0,quadruped,blue,235,8,medium-slow,1,monster/ground,False,False,False,regular,55,0029_nidoran_f.png,s1c3
30,nidorina,poison,0.8,20.0,70,62,67,55,55,56,365,2,0,0,0,0,0,quadruped,blue,120,8,medium-slow,1,no-eggs,False,False,False,regular,128,0030_nidorina.png,s2c3
31,nidoqueen,poison/ground,1.3,60.0,90,92,87,75,85,76,505,3,0,0,0,0,0,upright,blue,45,8,medium-slow,1,no-eggs,False,False,False,regular,227,0031_nidoqueen.png,s3c3
32,nidoran-m,poison,0.5,9.0,46,57,40,40,40,50,273,0,1,0,0,0,0,quadruped,purple,235,0,medium-slow,1,monster/ground,False,False,False,regular,55,0032_nidoran_m.png,s1c3
33,nidorino,poison,0.9,19.5,61,72,57,55,55,65,365,0,2,0,0,0,0,quadruped,purple,120,0,medium-slow,1,monster/ground,False,False,False,regular,128,0033_nidorino.png,s2c3
34,nidoking,poison/ground,1.4,62.0,81,102,77,85,75,85,505,0,3,0,0,0,0,upright,purple,45,0,medium-slow,1,monster/ground,False,False,False,regular,227,0034_nidoking.png,s3c3
35,clefairy,fairy,0.6,7.5,70,45,48,60,65,35,323,2,0,0,0,0,0,upright,pink,150,6,fast,1,fairy,False,False,False,regular,113,0035_clefairy.png,s2c3
36,clefable,fairy,1.3,40.0,95,70,73,95,90,60,483,3,0,0,0,0,0,upright,pink,25,6,fast,1,fairy,False,False,False,regular,217,0036_clefable.png,s3c3
37,vulpix,fire,0.6,9.9,38,41,40,50,65,65,299,0,0,0,0,0,1,quadruped,brown,190,6,medium,1,ground,False,False,False,regular,60,0037_vulpix.png,s1c2
38,ninetales,fire,1.1,19.9,73,76,75,81,100,100,505,0,0,0,0,1,1,quadruped,yellow,75,6,medium,1,ground,False,False,False,regular,177,0038_ninetales.png,s2c2
39,jigglypuff,normal/fairy,0.5,5.5,115,45,20,45,25,20,270,2,0,0,0,0,0,humanoid,pink,170,6,fast,1,fairy,False,False,False,regular,95,0039_jigglypuff.png,s2c3
40,wigglytuff,normal/fairy,1.0,12.0,140,70,45,85,50,45,435,3,0,0,0,0,0,humanoid,pink,50,6,fast,1,fairy,False,False,False,regular,196,0040_wigglytuff.png,s3c3
41,zubat,poison/flying,0.8,7.5,40,45,35,30,40,55,245,0,0,0,0,0,1,wings,purple,255,4,medium,1,flying,False,False,False,regular,49,0041_zubat.png,s1c3
42,golbat,poison/flying,1.6,55.0,75,80,70,65,75,90,455,0,0,0,0,0,2,wings,purple,90,4,medium,1,flying,False,False,False,regular,159,0042_golbat.png,s2c3
43,oddish,grass/poison,0.5,5.4,45,50,55,75,65,30,320,0,0,0,1,0,0,legs,blue,255,4,medium-slow,1,plant,False,False,False,regular,64,0043_oddish.png,s1c3
44,gloom,grass/poison,0.8,8.6,60,65,70,85,75,40,395,0,0,0,2,0,0,humanoid,blue,120,4,medium-slow,1,plant,False,False,False,regular,138,0044_gloom.png,s2c3
45,vileplume,grass/poison,1.2,18.6,75,80,85,110,90,50,490,0,0,0,3,0,0,humanoid,red,45,4,medium-slow,1,plant,False,False,False,regular,221,0045_vileplume.png,s3c3
46,paras,bug/grass,0.3,5.4,35,70,55,45,55,25,285,0,1,0,0,0,0,armor,red,190,4,medium,1,bug/plant,False,False,False,regular,57,0046_paras.png,s1c2
47,parasect,bug/grass,1.0,29.5,60,95,80,60,80,30,405,0,2,1,0,0,0,armor,red,75,4,medium,1,bug/plant,False,False,False,regular,142,0047_parasect.png,s2c2
48,venonat,bug/poison,1.0,30.0,60,55,50,40,55,45,305,0,0,0,0,1,0,humanoid,purple,190,4,medium,1,bug,False,False,False,regular,61,0048_venonat.png,s1c2
49,venomoth,bug/poison,1.5,12.5,70,65,60,90,75,90,450,0,0,0,1,0,1,bug-wings,purple,75,4,medium,1,bug,False,False,False,regular,158,0049_venomoth.png,s2c2
50,diglett,ground,0.2,0.8,10,55,25,35,45,95,265,0,0,0,0,0,1,blob,brown,255,4,medium,1,ground,False,False,False,regular,53,0050_diglett.png,s1c2
51,dugtrio,ground,0.7,33.3,35,100,50,50,70,120,425,0,0,0,0,0,2,heads,brown,50,4,medium,1,ground,False,False,False,regular,149,0051_dugtrio.png,s2c2
52,meowth,normal,0.4,4.2,40,45,35,40,40,90,290,0,0,0,0,0,1,quadruped,yellow,255,4,medium,1,ground,False,False,False,regular,58,0052_meowth.png,s1c2
