iter	RMSEWithUncertainty
0	6.149051943
1	6.14585424
2	6.141414815
3	6.136667958
4	6.1325266
5	6.127802343
6	6.123001733
7	6.118609876
8	6.114634986
9	6.110287412
10	6.107369693
11	6.102893735
12	6.099011238
13	6.094388452
14	6.090197537
15	6.085441764
16	6.081364456
17	6.077664559
18	6.072980762
19	6.068996096
20	6.065637289
21	6.062529183
22	6.058497739
23	6.055903681
24	6.052333328
25	6.048455478
26	6.044624616
27	6.040523955
28	6.036347964
29	6.033775961
30	6.029771129
31	6.026189642
32	6.022253304
33	6.018239374
34	6.015080475
35	6.011447911
36	6.007579021
37	6.004042605
38	6.000821118
39	5.9980313
40	5.994381897
41	5.9919449
42	5.988551692
43	5.9847477
44	5.981915628
45	5.97841454
46	5.974848933
47	5.971156437
48	5.968065743
49	5.964205522
50	5.960921168
51	5.957579608
52	5.954643489
53	5.95125451
54	5.947624554
55	5.944639306
56	5.941581723
57	5.938493235
58	5.935426737
59	5.9322193
60	5.929607503
61	5.926758788
62	5.923344748
63	5.9202073
64	5.91664431
65	5.913285583
66	5.909957447
67	5.907046629
68	5.903749382
69	5.900614081
70	5.89723252
71	5.895050174
72	5.892035802
73	5.888803797
74	5.886661592
75	5.883725357
76	5.880930579
77	5.877826484
78	5.875131321
79	5.87204166
80	5.869167714
81	5.866192083
82	5.863617334
83	5.860563041
84	5.857564867
85	5.854470518
86	5.85130977
87	5.848662749
88	5.846312029
89	5.843253918
90	5.840415336
91	5.837476362
92	5.835233196
93	5.832636633
94	5.829810545
95	5.827333004
96	5.824538421
97	5.821788653
98	5.818877382
99	5.816856229
100	5.81372895
101	5.811156442
102	5.808441182
103	5.805876916
104	5.803270607
105	5.801034761
106	5.798777214
107	5.795967934
108	5.793219739
109	5.791017949
110	5.7879745
111	5.785983155
112	5.783347985
113	5.780762232
114	5.778141853
115	5.776171315
116	5.773447958
117	5.770865469
118	5.768329392
119	5.765733471
120	5.763018651
121	5.760976647
122	5.758600809
123	5.755983073
124	5.753561404
125	5.750906618
126	5.748726544
127	5.746393207
128	5.743834732
129	5.741326221
130	5.738582955
131	5.736088292
132	5.733284104
133	5.730655635
134	5.728002483
135	5.725834317
136	5.723529032
137	5.720967734
138	5.718306107
139	5.716007903
140	5.714182064
141	5.712101482
142	5.70993178
143	5.707559332
144	5.70523697
145	5.702804108
146	5.700284263
147	5.697869741
148	5.695598143
149	5.693514481
150	5.691147606
151	5.689021986
152	5.686805237
153	5.68501569
154	5.682855021
155	5.680954916
156	5.678994774
157	5.676485995
158	5.673943941
159	5.671581904
160	5.669189782
161	5.666868554
162	5.664206593
163	5.662151943
164	5.659891758
165	5.657708859
166	5.655238382
167	5.652973861
168	5.650950241
169	5.648921847
170	5.646932241
171	5.644551453
172	5.642361569
173	5.640232538
174	5.638439252
175	5.636370958
176	5.633912765
177	5.63174569
178	5.629554262
179	5.627483688
180	5.625444374
181	5.62333304
182	5.621388406
183	5.619490138
184	5.61730036
185	5.614943027
186	5.612776286
187	5.610916714
188	5.60872922
189	5.606798237
190	5.604644046
191	5.603041118
192	5.600930361
193	5.598644262
194	5.596809753
195	5.595009497
196	5.59286995
197	5.59078858
198	5.58904252
199	5.587125989
200	5.584798825
201	5.582926974
202	5.580975771
203	5.578798911
204	5.576645059
205	5.574437765
206	5.572477422
207	5.570428855
208	5.568886551
209	5.567235822
210	5.565092573
211	5.562801786
212	5.560984497
213	5.559010643
214	5.557057336
215	5.55526204
216	5.553318776
217	5.551820505
218	5.550134614
219	5.548282411
220	5.546658189
221	5.545016698
222	5.543293833
223	5.541502791
224	5.539949695
225	5.538204523
226	5.536705157
227	5.534947871
228	5.533174857
229	5.531673586
230	5.529647992
231	5.527953462
232	5.52619003
233	5.524719699
234	5.522955477
235	5.520783125
236	5.519151743
237	5.517309552
238	5.515530411
239	5.513774478
240	5.511769275
241	5.510327585
242	5.508340723
243	5.506500282
244	5.50517695
245	5.503333768
246	5.501762041
247	5.500117702
248	5.498467424
249	5.496337087
250	5.49466462
251	5.49291105
252	5.491305228
253	5.489553928
254	5.487515636
255	5.485861249
256	5.484076144
257	5.482580768
258	5.481031042
259	5.479772341
260	5.47820612
261	5.476739673
262	5.475065056
263	5.473601449
264	5.471896818
265	5.470107563
266	5.468204044
267	5.466557848
268	5.464867899
269	5.463287347
270	5.461646853
271	5.460289916
272	5.458554482
273	5.456839448
274	5.455297154
275	5.453529207
276	5.451650558
277	5.449933952
278	5.448779225
279	5.447200913
280	5.445284916
281	5.44358823
282	5.441869018
283	5.439985775
284	5.438202034
285	5.43600633
286	5.434634586
287	5.433307357
288	5.432078591
289	5.430555492
290	5.42912541
291	5.427505639
292	5.426013644
293	5.42458019
294	5.423003224
295	5.421441602
296	5.419883816
297	5.418163996
298	5.416550701
299	5.415422637
300	5.41383973
301	5.41222944
302	5.410694621
303	5.409185677
304	5.407408018
305	5.405992825
306	5.404322289
307	5.402888799
308	5.401441029
309	5.400145594
310	5.398623792
311	5.397201469
312	5.395651737
313	5.394337892
314	5.392726257
315	5.391275302
316	5.389992394
317	5.388488864
318	5.387096608
319	5.385723766
320	5.384294486
321	5.382903296
322	5.381609813
323	5.380101793
324	5.37845323
325	5.376831754
326	5.375668193
327	5.374215407
328	5.37316826
329	5.371827875
330	5.370405528
331	5.368909173
332	5.36773843
333	5.366558436
334	5.365228217
335	5.36366431
336	5.362704513
337	5.36118035
338	5.359889447
339	5.358549885
340	5.357268338
341	5.355964327
342	5.354554278
343	5.353338595
344	5.351811815
345	5.350816495
346	5.34905519
347	5.347442334
348	5.346499946
349	5.345333514
350	5.344345152
351	5.342685103
352	5.341226074
353	5.340018458
354	5.338573367
355	5.337101908
356	5.336093058
357	5.334688437
358	5.333088761
359	5.332002771
360	5.330839392
361	5.329462013
362	5.327890624
363	5.326495936
364	5.32534187
365	5.323911084
366	5.322423768
367	5.32128115
368	5.319857355
369	5.318522112
370	5.317476397
371	5.31609719
372	5.314890925
373	5.313786823
374	5.312568572
375	5.311444737
376	5.310476252
377	5.309349555
378	5.308115888
379	5.307071776
380	5.305580998
381	5.304364237
382	5.303339544
383	5.302197945
384	5.3008321
385	5.299526078
386	5.298267105
387	5.297137313
388	5.29569449
389	5.2944911
390	5.293157083
391	5.292138461
392	5.291016677
393	5.289975237
394	5.288897157
395	5.287689333
396	5.2866313
397	5.285276203
398	5.28392911
399	5.282528954
400	5.281315869
401	5.28031125
402	5.278819144
403	5.277787816
404	5.276412485
405	5.275326166
406	5.274737253
407	5.273932141
408	5.272823938
409	5.271489115
410	5.270278568
411	5.269077169
412	5.268269807
413	5.267250732
414	5.266177953
415	5.264901451
416	5.263796001
417	5.262808567
418	5.261534659
419	5.260869809
420	5.259806139
421	5.258570664
422	5.257550515
423	5.256531325
424	5.255356606
425	5.25443713
426	5.253291575
427	5.252426481
428	5.251791033
429	5.250421099
430	5.249407544
431	5.248418263
432	5.247065107
433	5.246440756
434	5.2456037
435	5.244519661
436	5.243546164
437	5.242362714
438	5.241276924
439	5.240049963
440	5.239073063
441	5.238400972
442	5.237407147
443	5.236272298
444	5.23561204
445	5.234625665
446	5.233411083
447	5.232566451
448	5.231560276
449	5.23059232
450	5.229473805
451	5.228494399
452	5.227694852
453	5.226616948
454	5.225477923
455	5.224372384
456	5.223365684
457	5.222444986
458	5.221457404
459	5.220156556
460	5.219068083
461	5.218220347
462	5.217043819
463	5.216329086
464	5.215292926
465	5.214343254
466	5.213038992
467	5.212114217
468	5.21089869
469	5.210171342
470	5.208999007
471	5.208096185
472	5.207219566
473	5.206243488
474	5.2052541
475	5.204549593
476	5.203626091
477	5.202796326
478	5.201898248
479	5.200813099
480	5.199565572
481	5.198739756
482	5.197884934
483	5.19710126
484	5.196216822
485	5.195276759
486	5.194701086
487	5.193750677
488	5.192657871
489	5.192094566
490	5.191030871
491	5.190047556
492	5.189589376
493	5.188451129
494	5.188040725
495	5.187093925
496	5.18600869
497	5.185161869
498	5.184200154
499	5.183105795
500	5.182258974
501	5.181393467
502	5.180490986
503	5.179634602
504	5.178647976
505	5.177742918
506	5.177104816
507	5.176302644
508	5.175481886
509	5.174640145
510	5.174058843
511	5.173207682
512	5.172099863
513	5.171582451
514	5.170542526
515	5.169662837
516	5.168965276
517	5.168267092
518	5.167331929
519	5.166234124
520	5.16528556
521	5.164621897
522	5.163945773
523	5.163171978
524	5.162156218
525	5.16130756
526	5.160347608
527	5.159722238
528	5.158832968
529	5.157812305
530	5.157072088
531	5.156225219
532	5.155317535
533	5.154562304
534	5.153524546
535	5.152804499
536	5.151975609
537	5.15103891
538	5.150241166
539	5.149606074
540	5.148916905
541	5.148315168
542	5.147482047
543	5.14666859
544	5.146055578
545	5.145193757
546	5.144324248
547	5.143207488
548	5.142205817
549	5.141614511
550	5.140863526
551	5.14050589
552	5.139684526
553	5.138910182
554	5.138373211
555	5.137569436
556	5.136966759
557	5.136318787
558	5.135604622
559	5.134356674
560	5.13367198
561	5.132994123
562	5.132031931
563	5.131370292
564	5.130799456
565	5.129820766
566	5.129126253
567	5.12850385
568	5.127479401
569	5.126696757
570	5.125785135
571	5.124891488
572	5.12397375
573	5.123302485
574	5.12252399
575	5.121832352
576	5.12104075
577	5.120394801
578	5.119653234
579	5.118829027
580	5.118166576
581	5.11747866
582	5.116971048
583	5.116192953
584	5.115458244
585	5.11469192
586	5.114047623
587	5.11309543
588	5.112197363
589	5.111283766
590	5.110725918
591	5.110243357
592	5.109462849
593	5.108840178
594	5.108000004
595	5.107481411
596	5.106968099
597	5.106283001
598	5.105630096
599	5.105053275
600	5.104362389
601	5.103644786
602	5.103127334
603	5.102507847
604	5.102307585
605	5.101478194
606	5.100832054
607	5.100108299
608	5.099587671
609	5.099129091
610	5.098612648
611	5.09784329
612	5.09730149
613	5.096561498
614	5.095879717
615	5.095224068
